Year,Geography,GeographyType,State,Indicator,Total Number of Deaths
2019,Blount,County,TN,Drug Overdose Deaths Involving Prescription Opioids,15
2019,Blount,County,TN,Drug Overdose Deaths Involving All Opioids,34
2019,Blount,County,TN,Drug Overdose Deaths Involving Opioids and Any Stimulant,10
2019,Blount,County,TN,Drug Overdose Deaths Involving All Opioids and Benzodiazepines,3
2019,Bradley,County,TN,Drug Overdose Deaths Involving Prescription Opioids,5
2019,Bradley,County,TN,Drug Overdose Deaths Involving All Opioids,16
2019,Bradley,County,TN,Drug Overdose Deaths Involving Opioids and Any Stimulant,7
2019,Bradley,County,TN,Drug Overdose Deaths Involving All Opioids and Benzodiazepines,3
2019,Cocke,County,TN,Drug Overdose Deaths Involving Prescription Opioids,1
2019,Cocke,County,TN,Drug Overdose Deaths Involving All Opioids,4
2019,Cocke,County,TN,Drug Overdose Deaths Involving Opioids and Any Stimulant,1
2019,Cocke,County,TN,Drug Overdose Deaths Involving All Opioids and Benzodiazepines,1
2019,Davidson,County,TN,Drug Overdose Deaths Involving Prescription Opioids,78
2019,Davidson,County,TN,Drug Overdose Deaths Involving All Opioids,280
2019,Davidson,County,TN,Drug Overdose Deaths Involving Opioids and Any Stimulant,100
2019,Davidson,County,TN,Drug Overdose Deaths Involving All Opioids and Benzodiazepines,54
2019,Dyer,County,TN,Drug Overdose Deaths Involving Prescription Opioids,1
2019,Dyer,County,TN,Drug Overdose Deaths Involving All Opioids,4
2019,Dyer,County,TN,Drug Overdose Deaths Involving Opioids and Any Stimulant,3
2019,Dyer,County,TN,Drug Overdose Deaths Involving All Opioids and Benzodiazepines,1
2019,Hamilton,County,TN,Drug Overdose Deaths Involving Prescription Opioids,25
2019,Hamilton,County,TN,Drug Overdose Deaths Involving All Opioids,72
2019,Hamilton,County,TN,Drug Overdose Deaths Involving Opioids and Any Stimulant,35
2019,Hamilton,County,TN,Drug Overdose Deaths Involving All Opioids and Benzodiazepines,2
2019,Hardin,County,TN,Drug Overdose Deaths Involving Prescription Opioids,0
2019,Hardin,County,TN,Drug Overdose Deaths Involving All Opioids,1
2019,Hardin,County,TN,Drug Overdose Deaths Involving Opioids and Any Stimulant,1
2019,Hardin,County,TN,Drug Overdose Deaths Involving All Opioids and Benzodiazepines,0
2019,Henry,County,TN,Drug Overdose Deaths Involving Prescription Opioids,2
2019,Henry,County,TN,Drug Overdose Deaths Involving All Opioids,5
2019,Henry,County,TN,Drug Overdose Deaths Involving Opioids and Any Stimulant,3
2019,Henry,County,TN,Drug Overdose Deaths Involving All Opioids and Benzodiazepines,4
2019,Jackson,County,TN,Drug Overdose Deaths Involving Prescription Opioids,2
2019,Jackson,County,TN,Drug Overdose Deaths Involving All Opioids,3
2019,Jackson,County,TN,Drug Overdose Deaths Involving Opioids and Any Stimulant,1
2019,Jackson,County,TN,Drug Overdose Deaths Involving All Opioids and Benzodiazepines,0
2019,Knox,County,TN,Drug Overdose Deaths Involving Prescription Opioids,58
2019,Knox,County,TN,Drug Overdose Deaths Involving All Opioids,187
2019,Knox,County,TN,Drug Overdose Deaths Involving Opioids and Any Stimulant,80
2019,Knox,County,TN,Drug Overdose Deaths Involving All Opioids and Benzodiazepines,24
2019,Maury,County,TN,Drug Overdose Deaths Involving Prescription Opioids,7
2019,Maury,County,TN,Drug Overdose Deaths Involving All Opioids,24
2019,Maury,County,TN,Drug Overdose Deaths Involving Opioids and Any Stimulant,9
2019,Maury,County,TN,Drug Overdose Deaths Involving All Opioids and Benzodiazepines,12
2019,Montgomery,County,TN,Drug Overdose Deaths Involving Prescription Opioids,15
2019,Montgomery,County,TN,Drug Overdose Deaths Involving All Opioids,62
2019,Montgomery,County,TN,Drug Overdose Deaths Involving Opioids and Any Stimulant,19
2019,Montgomery,County,TN,Drug Overdose Deaths Involving All Opioids and Benzodiazepines,9
2019,Shelby,County,TN,Drug Overdose Deaths Involving Prescription Opioids,50
2019,Shelby,County,TN,Drug Overdose Deaths Involving All Opioids,204
2019,Shelby,County,TN,Drug Overdose Deaths Involving Opioids and Any Stimulant,87
2019,Shelby,County,TN,Drug Overdose Deaths Involving All Opioids and Benzodiazepines,69
2019,Washington,County,TN,Drug Overdose Deaths Involving Prescription Opioids,10
2019,Washington,County,TN,Drug Overdose Deaths Involving All Opioids,16
2019,Washington,County,TN,Drug Overdose Deaths Involving Opioids and Any Stimulant,4
2019,Washington,County,TN,Drug Overdose Deaths Involving All Opioids and Benzodiazepines,8
